date,cash,position_shares,close,market_value,equity,daily_return,cum_return,running_peak,drawdown,symbol,test_start
2025-01-06,101289.29,0,524.54,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-07,101289.29,0,515.18,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-08,101289.29,0,515.27,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-10,101289.29,0,507.19,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-13,101289.29,0,505.56,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-14,101289.29,0,505.08,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-15,101289.29,0,516.7,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-16,101289.29,0,513.08,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-17,100000.0,0,521.74,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-21,100000.0,0,524.8,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-22,100000.0,0,531.51,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-23,100000.0,0,532.64,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-24,100000.0,0,529.63,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-27,100000.0,0,514.21,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-28,100000.0,0,521.81,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-29,100000.0,0,520.83,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-30,100000.0,0,523.05,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-01-31,100000.0,0,522.29,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-03,100000.0,0,518.11,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-04,100000.0,0,524.47,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-05,100000.0,0,526.85,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-06,100000.0,0,529.6,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-07,100000.0,0,522.92,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-10,100000.0,0,529.25,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-11,100000.0,0,527.99,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
